type,category,question,option1,option2,option3,option4,option5,correctAnswer,explanation
MULTIPLE_CHOICE,Art,What is the technique of painting onto freshly laid wet plaster called?,Fresco,Gouache,Impasto,Tempera,,Fresco,"In true fresco the pigment bonds with the drying plaster, so the painting becomes part of the wall itself."
MULTIPLE_CHOICE,Art,The pigment name ultramarine literally means what?,Beyond the sea,Deepest blue,Water of kings,Stone of heaven,,Beyond the sea,"It was ground from lapis lazuli shipped to Europe from Afghanistan, so it arrived from beyond the sea."
TRUE_FALSE,Art,Michelangelo painted the Sistine Chapel ceiling lying flat on his back.,True,False,,,,False,"He worked standing on custom scaffolding, craning backwards, which wrecked his neck but never had him lying down."
TYPE_ANSWER,Art,"Which Mexican painter is famous for fierce self-portraits featuring flowers, monkeys and a joined brow?",Frida Kahlo,Kahlo,Frida,,,Frida Kahlo,"Frida Kahlo painted around 55 self-portraits, once saying she painted herself because she was so often alone."
MULTIPLE_CHOICE,Literature,"Which author created the Discworld series, set on a flat world carried by elephants on a giant turtle?",Terry Pratchett,Douglas Adams,Neil Gaiman,Diana Wynne Jones,,Terry Pratchett,"Terry Pratchett wrote 41 Discworld novels, and his hat and sword were later famously part of his estate."
MULTIPLE_CHOICE,Literature,Which Nigerian writer is best known for the 1958 novel Things Fall Apart?,Chinua Achebe,Wole Soyinka,Ben Okri,Ngugi wa Thiong'o,,Chinua Achebe,"Achebe took his title from a Yeats poem, and the book has since sold over 20 million copies in some 60 languages."
MULTIPLE_CHOICE,Literature,Which of the Bronte sisters published under the pen name Currer Bell?,Charlotte,Emily,Anne,None of them,,Charlotte,"Charlotte was Currer, Emily was Ellis and Anne was Acton, all keeping the deliberately ambiguous Bell surname."
TRUE_FALSE,Literature,Mary Shelley was still a teenager when she began writing Frankenstein.,True,False,,,,True,She was 18 during the famous ghost-story challenge at Lake Geneva in 1816 and only 20 when the novel appeared.
TYPE_ANSWER,Literature,Which author wrote the 1932 dystopian novel Brave New World?,Aldous Huxley,Huxley,Aldus Huxley,Aldous Leonard Huxley,,Aldous Huxley,"Huxley imagined a society drugged on soma and sorted into castes, and he died on the same day as C.S. Lewis and JFK."
MULTIPLE_CHOICE,Music,How many strings does a standard ukulele have?,Four,Five,Six,Eight,,Four,"A standard ukulele has four strings, usually tuned G-C-E-A, which is why chords are so easy for beginners."
MULTIPLE_CHOICE,Music,Which instrument earned the jazz-era nickname the licorice stick?,Clarinet,Oboe,Bassoon,Flute,,Clarinet,"Its slim black body reminded players of a licorice stick, and the name stuck all through the swing era."
MULTIPLE_CHOICE,Music,Who played the famous saxophone riff on Gerry Rafferty's Baker Street?,Raphael Ravenscroft,Clarence Clemons,Andy Mackay,Bobby Keys,,Raphael Ravenscroft,Session player Raphael Ravenscroft recorded the riff for a modest session fee and later said his cheque bounced.
TRUE_FALSE,Music,The theremin is played without the performer ever touching the instrument.,True,False,,,,True,"Players move their hands in the electromagnetic fields around two antennas to control pitch and volume, never touching it."
PUZZLE,Music,"Put these music formats in order of when they were first introduced, earliest first.",Vinyl LP,Compact cassette,Compact disc,Apple iPod,,Vinyl LP|Compact cassette|Compact disc|Apple iPod,"The LP arrived in 1948, the cassette in 1963, the CD in 1982 and the iPod in 2001 - roughly one leap per generation."
MULTIPLE_CHOICE,Food,Which spice is the most expensive in the world by weight?,Saffron,Vanilla,Cardamom,Cinnamon,,Saffron,"Saffron is hand-picked from crocus flowers, and it takes roughly 150,000 blooms to make a single kilogram."
MULTIPLE_CHOICE,Food,The green paste served as wasabi in most restaurants is usually made mainly from what?,Horseradish,Mustard greens,Green chilli,Kohlrabi,,Horseradish,"Real wasabi rhizome is notoriously hard to grow, so dyed horseradish stands in for it almost everywhere."
MULTIPLE_CHOICE,Food,Which French mother sauce is built from a white roux and milk?,Bechamel,Veloute,Espagnole,Hollandaise,,Bechamel,"Bechamel is the milk-based mother sauce, while veloute uses stock and espagnole uses brown stock."
TRUE_FALSE,Food,Ketchup began life as a fermented fish sauce rather than a tomato product.,True,False,,,,True,"The word comes from a Southeast Asian fermented fish condiment, and tomatoes were not added until the 1800s."
TYPE_ANSWER,Food,"What is the name of the savoury fifth basic taste, identified by a Japanese chemist in 1908?",umami,Umami,,,,umami,"Kikunae Ikeda isolated glutamate from kombu dashi and coined umami, meaning delicious taste."
